sample_id,SampleName,BioSample,BioProject
401015,102.100.100/401015,SAMN43264567,PRJNA1122929
401016,102.100.100/401016,SAMN43264568,PRJNA1122929
401017,102.100.100/401017,SAMN43264569,PRJNA1122929
401018,102.100.100/401018,SAMN43264570,PRJNA1122929
401019,102.100.100/401019,SAMN43264571,PRJNA1122929
401020,102.100.100/401020,SAMN43264572,PRJNA1122929
401021,102.100.100/401021,SAMN43264573,PRJNA1122929
401022,102.100.100/401022,SAMN43264574,PRJNA1122929
401032,102.100.100/401032,SAMN43264583,PRJNA1122929
401033,102.100.100/401033,SAMN43264584,PRJNA1122929
401036,102.100.100/401036,SAMN43264587,PRJNA1122929
401037,102.100.100/401037,SAMN43264588,PRJNA1122929
401038,102.100.100/401038,SAMN43264589,PRJNA1122929
401040,102.100.100/401040,SAMN43264591,PRJNA1122929
401041,102.100.100/401041,SAMN43264592,PRJNA1122929
401042,102.100.100/401042,SAMN43264593,PRJNA1122929
400954,102.100.100/400954,SAMN43264509,PRJNA1122929
400955,102.100.100/400955,SAMN43264510,PRJNA1122929
400965,102.100.100/400965,SAMN43264519,PRJNA1122929
400966,102.100.100/400966,SAMN43264520,PRJNA1122929
400968,102.100.100/400968,SAMN43264521,PRJNA1122929
400969,102.100.100/400969,SAMN43264522,PRJNA1122929
400970,102.100.100/400970,SAMN43264523,PRJNA1122929
400971,102.100.100/400971,SAMN43264524,PRJNA1122929
400972,102.100.100/400972,SAMN43264525,PRJNA1122929
400973,102.100.100/400973,SAMN43264526,PRJNA1122929
400974,102.100.100/400974,SAMN43264527,PRJNA1122929
400975,102.100.100/400975,SAMN43264528,PRJNA1122929
400976,102.100.100/400976,SAMN43264529,PRJNA1122929
401039,102.100.100/401039,SAMN43264590,PRJNA1122929
400959,102.100.100/400959,SAMN43264513,PRJNA1122929
400960,102.100.100/400960,SAMN43264514,PRJNA1122929
400979,102.100.100/400979,SAMN43264532,PRJNA1122929
400980,102.100.100/400980,SAMN43264533,PRJNA1122929
400981,102.100.100/400981,SAMN43264534,PRJNA1122929
400982,102.100.100/400982,SAMN43264535,PRJNA1122929
400983,102.100.100/400983,SAMN43264536,PRJNA1122929
400986,102.100.100/400986,SAMN43264539,PRJNA1122929
401008,102.100.100/401008,SAMN43264561,PRJNA1122929
